Date,Price,Open,High,Low,Vol.,Change %
04/01/2016,0.89,0.89,0.94,0.87,6.73B,0.00%
05/01/2016,1.17,0.9,1.17,0.86,10.37B,31.49%
06/01/2016,1.18,1.16,1.21,1.11,8.20B,0.62%
07/01/2016,1.43,1.17,1.43,1.15,7.21B,21.46%
08/01/2016,1.53,1.43,1.59,1.39,9.31B,7.43%
09/01/2016,1.71,1.53,1.73,1.43,8.67B,11.71%
10/01/2016,1.78,1.71,1.82,1.59,6.55B,3.85%
11/01/2016,2.31,1.79,2.38,1.66,12.77B,29.57%
12/01/2016,2.67,2.3,3,2.12,18.08B,15.77%
01/01/2017,2.73,2.61,2.8,2.48,13.40B,2.29%
02/01/2017,2.54,2.76,3.02,2.39,14.21B,-7.05%
03/01/2017,2.72,2.59,2.75,2.38,14.29B,7.34%
04/01/2017,2.61,2.72,2.74,2.39,9.57B,-4.25%
05/01/2017,3.61,2.62,3.67,2.56,19.21B,38.40%
06/01/2017,3.61,3.62,4.21,3.55,23.45B,0.15%
07/01/2017,4.06,3.63,4.25,3.46,15.49B,12.42%
08/01/2017,4.24,4.05,4.36,3.82,14.73B,4.26%
09/01/2017,4.47,4.25,4.78,4.07,14.45B,5.51%
10/01/2017,5.17,4.52,5.2,4.43,11.42B,15.68%
11/01/2017,5.02,5.23,5.47,4.78,11.83B,-2.95%
12/01/2017,4.84,4.98,5.01,4.51,10.11B,-3.59%
01/01/2018,6.14,4.89,6.23,4.86,11.46B,27.03%
02/01/2018,6.05,5.96,6.3,5.1,14.92B,-1.55%
03/01/2018,5.79,6.05,6.36,5.43,14.12B,-4.30%
04/01/2018,5.62,5.72,5.98,5.26,11.15B,-2.89%
05/01/2018,6.3,5.61,6.51,5.55,11.98B,12.13%
06/01/2018,5.92,6.35,6.73,5.88,8.79B,-6.06%
07/01/2018,6.12,5.85,6.41,5.83,6.32B,3.36%
08/01/2018,7.02,6.15,7.04,5.97,10.92B,14.63%
09/01/2018,7.03,7,7.13,6.47,6.34B,0.12%
10/01/2018,5.27,7.1,7.32,4.4,12.98B,-24.98%
11/01/2018,4.09,5.31,5.55,3.33,16.16B,-22.48%
12/01/2018,3.34,4.32,4.37,3.11,12.45B,-18.31%
01/01/2019,3.59,3.27,4.02,3.19,16.87B,7.68%
02/01/2019,3.86,3.61,4.13,3.56,11.45B,7.31%
03/01/2019,4.49,3.91,4.63,3.62,12.07B,16.40%
04/01/2019,4.53,4.58,4.84,4.33,9.44B,0.80%
05/01/2019,3.39,4.58,4.62,3.38,11.18B,-25.16%
06/01/2019,4.11,3.4,4.13,3.32,8.23B,21.24%
07/01/2019,4.22,4.31,4.47,3.88,8.42B,2.73%
08/01/2019,4.19,4.23,4.34,3.68,9.55B,-0.72%
09/01/2019,4.35,4.11,4.71,4.08,6.41B,3.92%
10/01/2019,5.03,4.38,5.22,4.25,7.81B,15.48%
